prompt_type,input_tokens,output_tokens,total_tokens,input_percentage,output_percentage
arabic,156.81967213114754,453.91803278688525,610.7377049180328,25.677090323446517,74.32290967655348
chinese,157.81967213114754,412.2295081967213,570.0491803278688,27.685273056681908,72.31472694331809
english,91.16129032258064,457.0,548.1612903225806,16.630377214147003,83.36962278585301
finnish,156.81967213114754,475.6393442622951,632.4590163934427,24.795230689476412,75.20476931052359
german,156.81967213114754,412.4590163934426,569.2786885245902,27.547082877382937,72.45291712261705
japanese,156.81967213114754,397.4918032786885,554.311475409836,28.290894034838676,71.70910596516134
korean,156.81967213114754,454.0,610.8196721311475,25.673644659151908,74.3263553408481
russian,156.81967213114754,432.0,588.8196721311475,26.63288601815246,73.36711398184754
strategic,226.78688524590163,303.40983606557376,530.1967213114754,42.77410178714984,57.22589821285017
