prompt_type,mean,std,count,token_reduction,efficiency_percent,more_efficient_than_english
arabic,505.5,38.890872965260115,2,59.16666666666663,10.478158205430926,True
chinese,508.3333333333333,69.00966115938647,3,56.333333333333314,9.97638724911452,True
english,564.6666666666666,93.62869930386374,3,0.0,0.0,False
finnish,638.0,198.022725968511,3,-73.33333333333337,-12.987012987012994,False
german,587.6666666666666,109.22606526527144,3,-23.0,-4.073199527744983,False
japanese,478.0,11.313708498984761,2,86.66666666666663,15.348288075560799,True
korean,584.0,66.46803743153546,2,-19.33333333333337,-3.42384887839434,False
russian,540.5,125.15790027001891,2,24.16666666666663,4.279811097992909,True
strategic,527.5,79.90306627407988,2,37.16666666666663,6.58205430932703,True
